id,utme,utmn,watershed,focusarea,name,type,year-compl,upstream,drainage,bankfull-estimated,bankfull-calculated,sponsor,cost-culve,cost-total,survey-date-pre,survey-date-post,design,permit,dimension-length,dimension-height,dimension-width,longitude,latitude
56,585897,4979749,Middle Machias River,West Branch Machias River,Unnamed tributary,Open Arch,2010,0.39,0.26,,5.5,NOAA,7607,14123,,,Contech,LURC,36,6,"3'2""",-67.910793,44.965987
57,587799,4989331,Upper Machias River,Third Machias Lake-First Machias Lake,2nd Machias Lake tributary,Open Arch,2007,0.9,0.96,8,8.6,,16251,55407,,,,,,14,,-67.885007,45.051994
58,587308,4990658,Upper Machias River,Third Machias Lake-First Machias Lake,Dunning brook,Open Arch,2007,1.2,1.03,8,8.8,,14767,50910,,,,,,12,,-67.89101,45.063998
59,586910,4990986,Upper Machias River,Third Machias Lake-First Machias Lake,Dunning brook,Open Arch,2007,0.9,0.94,8,8.5,,14767,47031,,,,,,12,,-67.896008,45.066999
60,585253,4990157,Upper Machias River,Third Machias Lake-First Machias Lake,Fletcher brook,Open Arch,2009,4.1,4.5,13,14.6,,24807.1,54014.7,9/14/2009,6/15/2011,NRCS,LURC,56,15,"7'9""",-67.917193,45.05974
61,577938,4989037,Upper Machias River,Fifth Machias Lake-Fourth Machias Lake,5th Lake Machias,Open Arch,2010,22,16.15,,32.6,NOAA,45471,88024,,,NRCS,LURC,68,25,,-68.010261,45.050502
62,585448,4979585,Middle Machias River,West Branch Machias River,Unnamed tributary,Open Arch,2009,0.5,0.55,6,7.1,,10565.72,18610.47,8/14/2009,7/13/2011,Contech,LURC,40,10,"4'5""",-67.916513,44.964565
63,584802,4981293,Middle Machias River,West Branch Machias River,Unnamed tributary,Decommission,2010,0.65,0.18,,4.8,NOAA,,3486,5/25/2010,7/13/2011,Contech,LURC,,,,-67.924415,44.980015
64,582684,4982588,Middle Machias River,West Branch Machias River,Libby brook,Open Arch,2009,0.83,0.77,,8,,11203.78,31364.99,9/23/2009,,Contech,LURC,40,10,"5'3""",-67.951062,44.99192
65,582978,4977956,Middle Machias River,West Branch Machias River,Cranberry Lake tributary,Open Arch,2010,0.49,0.37,,6.2,EBTJV,,,,,,,,6,,-67.948095,44.950196
66,582774,4978339,Middle Machias River,West Branch Machias River,West Branch Machias tributary,Open Arch,2010,0.18,0.09,,3.8,NOAA,8442,17023,,,Contech,LURC,40,6,"3'2""",-67.950618,44.953667
67,581255,4978829,Middle Machias River,West Branch Machias River,Unnamed tributary,Open Arch,2010,0.26,0.09,,3.8,NOAA,7710,18795,,,Contech,LURC,40,5,"2'7""",-67.969793,44.958253
68,580799,4979562,Middle Machias River,West Branch Machias River,Cranberry Lake tributary,Open Arch,2010,0.29,0.09,,3.8,NOAA,9324,21323,6/12/2010?,,Contech,LURC,44,6,"3'2""",-67.975456,44.964902
69,579967,4980249,Middle Machias River,West Branch Machias River,Unnamed tributary,Open Arch,2010,0.31,0.21,,5.1,NOAA,7558,14386,6/2/2010?,,Contech,LURC,36,6,"3'2""",-67.985896,44.971179
70,580397,4980414,Middle Machias River,West Branch Machias River,Unnamed tributary,Open Arch,2010,0.68,0.39,,6.3,NOAA,12105,23259,,,Contech,LURC,46,9,"4'8""",-67.980417,44.972616
71,582728,4974257,Middle Machias River,West Branch Machias River,West Branch Machias tributary,Open Arch,2009,0.25,0.15,3,4.5,,7212.65,24862.36,7/31/2009,,Contech,LURC,34,6,"3'2""",-67.95187,44.916932
72,577481,4987026,Upper Machias River,Fifth Machias Lake-Fourth Machias Lake,Unnamed tributary,Open Arch,2010,0.91,0.88,,8.3,NOAA,11359,24916,,,Contech,LURC,,6,,-68.016374,45.032452
73,597384,4975359,Old Stream,Old Stream,Honeymoon brook tributary,Decommission,2010,0.5,0.26,,5.5,DPS,,2500,5/26/2010,6/27/2011,,,,,,-67.766012,44.924995
74,578751,4985968,Middle Machias River,West Branch Machias River,Lower Sabeo Lake tributary,Open Arch,2010,0.15,0.07,,3.5,NOAA,10676,20464,,,Contech,LURC,50,6,"3'2""",-68.000419,45.02279
75,576363,4980475,Middle Machias River,West Branch Machias River,Thompson brook,Open Arch,2009,1.1,1.3,9,9.5,,16365.23,48710.73,,,Contech,LURC,52,12,"6'3""",-68.031559,44.97361
76,577802,5001848,Upper Machias River,Fifth Machias Lake-Fourth Machias Lake,Beldon brook,Open Arch,2009,1.1,1.08,11,8.9,,14279.24,45192.45,7/30/2009,,NRCS,LURC,48,11,"5'9""",-68.009997,45.165821
77,573471,4982063,Middle Machias River,West Branch Machias River,Thompson brook,Open Arch,2009,1.2,1.03,9,8.8,,17597.24,46889.66,7/27/2009,,NRCS,LURC,56,12,"6'3""",-68.067999,44.988209
78,573634,4982124,Middle Machias River,West Branch Machias River,Thompson brook,Open Arch,2010,0.93,0.54,,7.1,NOAA,18878,44770,,,Contech,LURC,60,12,"6'3""",-68.065923,44.988741
79,574160,4982334,Middle Machias River,West Branch Machias River,Thompson brook,Open Arch,2010,0.29,0.13,,4.3,NOAA,11853,34871,6/14/2010,,Contech,LURC,50,7,"3'8""",-68.05922,44.990576
80,575255,4983239,Middle Machias River,West Branch Machias River,Sabeo Lake tributary,Open Arch,2010,0.75,0.49,,6.8,NOAA,17853,32352,9/1/2009,,Contech,LURC,,11,,-68.045196,44.998607
81,575625,4983796,Middle Machias River,West Branch Machias River,Campbell Lake outlet,Open Arch,2008,1.62,1.3,9,9.5,,18400,63380.02,,,,,,14.5,,-68.040418,45.003581
82,576242,4984843,Middle Machias River,West Branch Machias River,Sabeo Lake tributary,Open Arch,2010,0.18,0.17,,4.7,NOAA,31659,62893,5/24/2010,6/20/2011,Contech,LURC,90,12,,-68.032432,45.012938
83,576816,4985738,Middle Machias River,West Branch Machias River,Lower Sabeo Lake tributary,Open Arch,2010,0.63,0.32,,5.9,NOAA,11777,24202,,,Contech,LURC,56,6,"3'2""",-68.025012,45.020932
84,577534,4985901,Middle Machias River,West Branch Machias River,Humphrey brook,Open Arch,2010,1.4,0.74,,7.9,NOAA,20558,37493,,,Contech,LURC,62,12,"6'3""",-68.015875,45.022321
85,573411,4986982,Middle Machias River,West Branch Machias River,Burntland pond tributary,Open Arch,2009,0.34,0.25,7,5.4,,8341.45,24090.45,8/18/2009,,Contech,LURC,36,7,"3'8""",-68.068042,45.032489
86,574107,4986886,Middle Machias River,West Branch Machias River,Pughole pond tributary,Bridge,2009,0.86,0.41,6,6.4,,,10164.75,8/17/2009,8/8/2011,Contech,LURC,24,,,-68.059222,45.031553
87,574355,4986877,Middle Machias River,West Branch Machias River,Burntland pond tributary,Bridge,2009,4,5.11,20,15.2,,,8907.5,8/17/2009,,SHARE,LURC,24,,,-68.056075,45.031446
88,581246,4953247,Narraguagus River-Narraguagus Bay,Schoodic Brook,Great Falls Branch,Open Arch,2007,7.2,2.74,10,12.3,,17332,43495,,,,,,14,,-67.974003,44.727997
89,609063,4984881,East Machias River-Round Lake,East Machias River-Round Lake,Harmon brook,Open Arch,2007,4.4,3.82,14,13.8,,28905,57231,,,,,,16,,-67.616004,45.008992
90,615507,4985995,East Machias River,Barrows Lake-Northern Stream,Dead brook,Open Arch,2007,1.9,1.36,12,9.7,,17177,41678,,,,,,14,,-67.534001,45.017997
91,587389,4990548,Upper Machias River,Third Machias Lake-First Machias Lake,Dunning brook,Decommission,2007,1.3,1.1,,9,,,,,,,,,,,-67.890001,45.062998
92,635157,4973711,Dennys River,Dennys River,Venture brook,Open Arch,2007,3.3,3.2,16,13,,35989,77313,,,,,,20,,-67.288,44.903993
93,574110,4969533,Narraguagus River-Narraguagus Bay,Beddington Lake,Sinclair brook,Remnant Dam,2008,1,2.5,,11.9,,,,,,,,,,,-68.061733,44.875362
94,577702,4984903,Middle Machias River,West Branch Machias River,Lower Sabeo Lake tributary,Decommission,2009,0.33,0.11,4,4.1,,,1254,,,,,,,,-68.013897,45.01332
95,574642,4986969,Middle Machias River,West Branch Machias River,Pughole pond tributary,Open Arch,2009,0.31,0.25,4,5.4,,8503.87,16522.87,7/16/2009,6/20/2011,Contech,LURC,40,6,"3'2""",-68.052419,45.032244
96,575520,4986284,Middle Machias River,West Branch Machias River,Pughole pond tributary,Open Arch,2009,0.24,0.17,5,4.7,,7586.6,14098.6,,6/20/2011,Contech,LURC,36,6,"3'2""",-68.041377,45.025985
97,577643,4985211,Middle Machias River,West Branch Machias River,Lower Sabeo Lake tributary,Decommission,2009,0.28,0.31,5,5.8,,,1254,8/16/2009,,,,,,,-68.014598,45.016098
98,583610,4982929,Middle Machias River,West Branch Machias River,Ingalls brook,Decommission,2009,1.8,1.9,11,10.9,,,5000,7/20/2009,,SHARE,LURC,,,,-67.93926,44.994881
99,589997,5002593,Big Lake-Grand Falls Flowage,Little River,Rolfe brook,Open Arch,2008,1.86,1.38,11,9.7,,,40865.92,,,,,52,12,"6'3""",-67.854714,45.171076
